Province_State,Confirmed,Deaths,Recovered,date
California,35465,1282,,21-Apr
Colorado,10473,483,,21-Apr
Connecticut,20360,1423,,21-Apr
Delaware,2931,82,565,21-Apr
Diamond Princess,49,0,0,21-Apr
District of Columbia,3098,112,636,21-Apr
Florida,27869,867,,21-Apr
Georgia,19881,798,,21-Apr
Grand Princess,103,0,0,21-Apr
Guam,136,5,114,21-Apr
Hawaii,586,10,423,21-Apr
Idaho,1736,48,660,21-Apr
Illinois,33059,1468,,21-Apr
Indiana,12097,635,,21-Apr
Iowa,3641,83,1293,21-Apr
Kansas,2164,109,,21-Apr
Kentucky,3204,171,1174,21-Apr
Louisiana,24854,1405,,21-Apr
Maine,888,36,443,21-Apr
Maryland,14193,652,930,21-Apr
Massachusetts,41199,1961,,21-Apr
Michigan,32667,2575,3237,21-Apr
Minnesota,2567,160,1254,21-Apr
Mississippi,4716,183,,21-Apr
Missouri,6066,224,,21-Apr
Montana,437,12,273,21-Apr
Nebraska,1685,33,,21-Apr
Nevada,3937,163,,21-Apr
New Hampshire,1490,42,521,21-Apr
New Jersey,92387,4753,,21-Apr
New Mexico,1971,58,501,21-Apr
New York,258361,19104,23887,21-Apr
North Carolina,7134,245,,21-Apr
North Dakota,644,13,214,21-Apr
Northern Mariana Islands,14,2,11,21-Apr
Ohio,13725,557,,21-Apr
Oklahoma,2807,164,1702,21-Apr
Oregon,2004,78,,21-Apr
Pennsylvania,35249,1614,,21-Apr
Puerto Rico,1298,64,,21-Apr
Rhode Island,5500,171,315,21-Apr
South Carolina,4439,124,2063,21-Apr
South Dakota,1755,8,824,21-Apr
Tennessee,7394,157,3828,21-Apr
Texas,20574,533,6486,21-Apr
Utah,3297,32,888,21-Apr
Vermont,818,40,1710,21-Apr
Virgin Islands,53,3,48,21-Apr
Virginia,9630,324,1418,21-Apr
Washington,12392,664,,21-Apr
West Virginia,908,26,330,21-Apr
Wisconsin,4625,244,,21-Apr
Wyoming,443,2,237,21-Apr
Recovered,0,0,75204,21-Apr
Alabama,5593,196,,22-Apr
Alaska,335,9,196,22-Apr
